Itinerary: ['earth', 'mars', 'pluto']
13360 : 2028-03-01, [0.423866310948204, 19.576133689051797]
13361 : 2028-03-01, [0.5879509712204812, 19.662049028779517]
13362 : 2028-03-01, [0.8111924194693609, 19.68880758053064]
13363 : 2028-03-01, [0.4640131452338799, 20.28598685476612]
13364 : 2028-03-01, [0.5525145537814198, 20.44748544621858]
13365 : 2028-03-01, [0.6879782191421877, 20.562021780857812]
13366 : 2028-03-01, [0.8666921543959774, 20.633307845604023]
13367 : 2028-03-01, [1.0631802300851898, 20.68681976991481]
13368 : 2028-03-01, [0.7311167684012134, 21.268883231598785]
13369 : 2028-03-01, [0.8507847625593911, 21.399215237440607]
13370 : 2028-03-01, [1.0387717432769537, 21.461228256723047]
13371 : 2028-03-01, [1.356563951032948, 21.393436048967054]
13372 : 2028-03-01, [0.19318741000394907, 22.806812589996053]
13373 : 2028-03-01, [1.5141301928094186, 21.73586980719058]
13374 : 2028-03-01, [0.24067237901392408, 23.259327620986074]
13375 : 2028-03-01, [1.1242224000967826, 22.625777599903216]
13376 : 2028-03-01, [1.3350435178054532, 22.664956482194544]
13377 : 2028-03-01, [0.5402635766523576, 23.709736423347643]
13378 : 2028-03-01, [1.767974275982525, 22.732025724017475]
13379 : 2028-03-01, [1.7337985909685574, 23.016201409031442]
13380 : 2028-03-10, [0.6982914319983199, 9.30170856800168]
13381 : 2028-03-10, [0.7422829532196425, 9.507717046780357]
13382 : 2028-03-10, [0.7847017989928262, 9.715298201007172]
13383 : 2028-03-10, [0.8897892471719552, 9.860210752828044]
13384 : 2028-03-10, [0.9384451540816073, 10.061554845918392]
13385 : 2028-03-10, [0.09164154608623877, 11.15835845391376]
13386 : 2028-03-10, [0.1222125067504504, 11.37778749324955]
13387 : 2028-03-10, [0.3880892329055606, 11.36191076709444]
13388 : 2028-03-10, [0.5735329754680114, 11.42646702453199]
13389 : 2028-03-10, [0.6036486426392582, 11.646351357360743]
13390 : 2028-03-10, [0.6368715961490095, 11.86312840385099]
13391 : 2028-03-10, [0.6733537348923985, 12.0766462651076]
13392 : 2028-03-10, [0.8582970457373434, 12.141702954262657]
