Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
314   : 2022-02-20, [0.18023639561870491, 2.6105027045015605, 10.709260899879734]
315   : 2022-02-20, [0.18111745844248178, 2.643521171181658, 10.92536137037586]
316   : 2022-02-20, [0.18160663803736812, 2.6750653871708416, 11.14332797479179]
317   : 2022-02-20, [0.18326109229144008, 2.71307260543718, 11.353666302271382]
318   : 2022-02-20, [0.18344685812758213, 2.743315663188784, 11.573237478683634]
319   : 2022-02-20, [0.18348699567163282, 2.7729450277591665, 11.7935679765692]
320   : 2022-02-20, [0.18488824646222551, 2.809746070674067, 12.005365682863708]
321   : 2022-02-20, [0.18471137330782297, 2.83811501471528, 12.227173611976898]
322   : 2022-02-20, [0.1844137523325638, 2.865964698202535, 12.4496215494649]
323   : 2022-02-20, [0.18557794046773327, 2.9014022118452307, 12.663019847687035]
324   : 2022-02-20, [0.1850879140737878, 2.928167106528316, 12.886744979397895]
325   : 2022-02-20, [0.18447479113680357, 2.9543179089187976, 13.111207299944397]
326   : 2022-02-20, [0.18378348834778996, 2.980857993280962, 13.335358518371248]
327   : 2022-02-20, [0.18298337772383086, 3.007035156204711, 13.559981466071457]
328   : 2022-02-20, [0.18203041207552678, 3.0312443015629458, 13.786725286361527]
329   : 2022-02-20, [0.181006263066134, 3.0562886240724656, 14.0127051128614]
330   : 2022-02-20, [0.17986990532114341, 3.0806233433664505, 14.239506751312407]
331   : 2022-02-20, [0.1767906665240938, 3.0949905999791545, 14.478218733496751]
332   : 2022-02-20, [0.17539553510088562, 3.1179886498802887, 14.706615815018825]
333   : 2022-02-20, [0.17388313645447612, 3.1406608552746933, 14.935456008270831]
334   : 2022-02-20, [0.17033862190483917, 3.152538486796845, 15.177122891298316]
335   : 2022-02-20, [0.16857369397187524, 3.173861258628347, 15.407565047399778]
336   : 2022-02-20, [0.1647409129993841, 3.1856564211485674, 15.64960266585205]
